Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,59.17355372,60.48682703,73.57771536,73.1815261,96.23374726,261.67713,251.8100233,240.4822073,224.432287,222.9170897,273.065587,250.7436178,161.1060047,196.3544099,272.5839547,252.814433,178.6432232,217.6471714,311.5203171,368.8484848,382.1716806,385.8602128,403.3391629,172.3428134,67.61407104,420.6613723,131.3533433,60.70530412,57.64831865,53.32202112,47.65736753,40.71562782,44.53140265,39.68571699,36.32129722,37.77967598
Africa Eastern and Southern,AFE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,37.3356694,35.60555215,33.16828483,31.37812941,38.59128221,36.6066376,34.63216517,35.976605,35.0791777,33.93089309,34.90455362,35.00393586,32.49019774,33.27924899,37.87859579,36.05363711,34.58530822,33.28864067,34.76443307,38.30084503,47.6471525,43.52181903,38.73487687,35.26392943,37.93444892,39.45114217,38.6812084,37.27222534,37.45815862,36.20407096,32.42229813,29.20071617,34.5163292,34.83321788,37.43648622,39.08410473,41.56761525,41.78355189,39.92337836,39.8180219,40.48648996,43.60738548,44.70343562,42.35179492,43.79782879,45.64239309,48.52817069,51.22745958,58.54577503,46.25117928,48.35621221,52.92435572,53.09738548,53.41896958,51.19995606,46.75424288,43.04351957,41.79350251,47.26388114,44.77446806,41.92803295,48.46336534
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.47520503,27.69230736,31.82926765,25.9615357,23.49999869,19.37086148,13.92857176,11.47410301,13.54368899,14.76340659,11.43584727,13.16142315,17.92479199,18.17307765,21.94329956,23.957747,21.59999991,21.46726801,21.69696898,24.31082982,41.49134534,45.41811807,,,,,,,,,,,,,,,,,,,,,66.21287558,49.45477614,47.54039113,45.8546199,45.32819095,35.77691719,34.73249579,30.76141949,35.44870645,37.88259687,47.01148663,44.10030115,40.38328305,41.47382344,39.56811775,41.21430417,44.96480923,40.41896869,36.31454816,44.70860796
Africa Western and Central,AFW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,31.2065477,31.2745933,28.46390579,28.99365705,30.23358574,30.65136026,28.52267103,30.51725984,30.69205774,31.24060437,27.22632085,36.62046796,33.48827483,38.25261759,48.96678261,47.66061854,49.48213276,58.45554588,55.59463679,53.15420449,59.817149,28.68586937,25.93509319,30.17847432,34.57037162,34.96225939,27.88303188,29.807071,29.92555329,36.49071672,36.51153037,38.28883425,38.74058096,43.24353447,46.93119537,47.23393217,44.72388557,45.70018996,39.72560606,41.0258707,45.50166086,44.74321001,36.79946343,39.79246711,44.03091383,46.31043674,42.91330368,43.70129339,47.05801657,39.78663849,42.91951589,49.69256013,45.67755331,39.21321498,37.91818421,31.28267963,29.94241861,32.28777201,34.62382105,34.40083408,28.40839518,33.31804771
Angola,AGO,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,54.14380168,63.38187104,45.31137171,48.49298668,53.64125215,48.26862802,34.19087021,42.93734481,44.3367421,42.67187274,48.87447567,44.86134155,69.12771629,90.57467893,100.7588226,92.25909606,94.79905158,99.41978003,86.40949274,134.3426543,120.0600927,108.6943905,79.08099185,84.14219035,81.97588853,87.80414754,77.5853738,88.95381647,95.88585051,90.30089359,82.32850613,79.98971687,75.84908576,70.89720987,63.93701673,61.76843859,81.51805698,71.15271785,72.70068048,70.48568348,56.84544325,67.31916002
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08062699,30.71337585,30.07068459,46.38223025,93.68651184,58.54981382,39.55444848,38.28207351,35.7852609,34.75736741,40.61329148,46.41791819,38.84660903,41.66134646,42.40963797,41.20113235,40.55848911,40.71001071,43.27752296,49.35693558,51.25237807,46.86069819,49.88713422,56.86241481,55.56894662,56.81648963,57.8387865,54.61563057,55.40754809,58.08894363,58.02816798,55.92192342,53.37081267,61.77219149
Andorra,AND,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.46139384,49.60804292,50.0918429,53.19679489,54.00339783,53.65974198,54.20228044,59.18418566
Arab World,ARB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,48.60681722,45.42923648,36.36294611,42.39163478,40.29054395,37.78521699,38.85709057,36.19503044,40.90331296,41.23349116,40.61127978,43.61900914,44.27498568,50.97833094,72.36312067,68.14714391,66.03867023,67.15548637,65.26849173,67.87508096,73.0850723,74.59169119,67.81132779,58.36446811,53.81580876,48.68145524,40.06986031,40.40281998,46.78315709,48.65164843,38.027086,49.133278,53.85301134,51.36804709,50.16781856,51.74620066,53.89193676,51.84479383,47.15078572,47.10466903,52.80628237,51.62197555,53.50341518,58.06967939,65.24027639,69.48425125,69.53804049,73.38749145,78.36590274,67.70370119,68.43051061,79.08218969,81.46179019,80.82495063,75.06562433,68.36564603,62.91224212,66.14983174,71.13130147,71.15617085,64.26960403,76.13234191
United Arab Emirates,ARE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,67.57164114,66.99622546,59.06695402,60.97368173,66.0294448,70.45156362,64.91744808,60.52843087,58.85991561,56.05631854,57.45542548,50.26571701,53.8849778,56.68261294,66.57663745,68.52467589,74.06478378,77.74086243,83.80019295,82.92373673,79.31106176,92.28742854,94.5344208,87.77744644,80.7562531,81.31697979,82.95967378,86.33971919,95.86850942,110.3194281,111.805908,110.5923935,127.4650778,139.3265823,142.7437469,138.2185448,151.7024495,160.228751,161.1102316,149.493595,152.2904017,152.0917804,146.3025391,148.1449107,162.1750404,166.6102888,186.1804343
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,10.52325704,12.83923009,9.712852091,9.497364351,9.48988805,10.55792183,9.596450804,10.19954882,10.97700389,10.8370481,11.07304276,10.45980509,10.44497047,13.17348992,13.58035551,17.28395059,17.6196527,20.95236394,24.11841999,23.60669219,15.37467251,11.86776881,16.04713458,13.80961322,10.43499179,10.96068531,11.4550072,17.98350449,11.62272705,10.67520645,11.84805448,12.63064264,14.44453076,15.92400935,17.48044964,19.40182818,19.3495028,17.2264684,18.11904312,17.44085107,35.44676691,34.01601183,34.62997491,34.73936257,34.70027111,34.94759584,35.25851645,28.36776901,29.50233943,29.87192918,27.09904323,27.24604172,25.48641191,19.67030526,20.40459154,19.51140569,24.24889721,25.51397521,25.22123342,28.96389194
